prec_no,block_no,prec_name,block_name,ob_type
36,0311,福島県,田代山,a
36,0312,福島県,東白川,a
36,47598,福島県,小名浜,s
36,1031,福島県,西会津,a
36,1044,福島県,金山,a
36,1116,福島県,鷲倉,a
36,1127,福島県,上遠野,a
36,1130,福島県,飯舘,a
36,1150,福島県,津島,a
36,1268,福島県,長沼,a
36,1269,福島県,舘岩,a
36,1274,福島県,川前,a
36,1282,福島県,桧原,a
36,1293,福島県,茂庭,a
36,1294,福島県,湯本,a
36,1295,福島県,桧枝岐,a
36,1359,福島県,吉尾峠,a
36,1364,福島県,六十里越,a
36,1386,福島県,湖南,a
36,1466,福島県,玉川,a
36,1607,福島県,山田,a
36,1633,福島県,新地,a
36,1634,福島県,古殿,a
40,0314,茨城県,花園,a
40,0315,茨城県,北茨城,a
40,0316,茨城県,大子,a
40,0317,茨城県,神峰山,a
40,0318,茨城県,笠間,a
40,47629,茨城県,水戸,s
40,0320,茨城県,古河,a
40,0321,茨城県,愛宕山,a
40,0322,茨城県,下妻,a
40,0323,茨城県,坂東,a
40,0324,茨城県,土浦,a
40,0325,茨城県,鹿嶋,a
40,0911,茨城県,江戸崎,a
40,1011,茨城県,日立,a
40,1012,茨城県,柿岡,a
40,1013,茨城県,美野里,a
40,1014,茨城県,龍ケ崎,a
40,1082,茨城県,筑波山,a
40,1170,茨城県,中野,a
40,1173,茨城県,徳田,a
40,1245,茨城県,鉾田,a
40,1331,茨城県,常陸大宮,a
40,1388,茨城県,門井,a
40,1421,茨城県,大能,a
40,47646,茨城県,つくば（館野）,s
40,1530,茨城県,下館,a
40,1635,茨城県,高萩,a
40,1661,茨城県,常総,a
41,0326,栃木県,那須高原,a
41,0327,栃木県,黒田原,a
41,0328,栃木県,八方が原,a
41,0329,栃木県,黒磯,a
41,0330,栃木県,八溝山,a
41,0331,栃木県,大田原,a
41,47690,栃木県,奥日光（日光）,s
41,0333,栃木県,方塞山,a
41,0334,栃木県,高根沢,a
41,0335,栃木県,鹿沼,a
41,47615,栃木県,宇都宮,s
41,0337,栃木県,葛生,a
41,0338,栃木県,真岡,a
41,0339,栃木県,足利,a
41,0340,栃木県,栃木,a
41,0341,栃木県,小山,a
41,1015,栃木県,五十里,a
41,1016,栃木県,足尾,a
41,1017,栃木県,烏山,a
41,1018,栃木県,佐野,a
41,1221,栃木県,土呂部,a
41,1333,栃木県,今市,a
41,1334,栃木県,塩谷,a
41,1605,栃木県,那須烏山,a
41,1675,栃木県,日光東町,a
42,0342,群馬県,前武尊,a
42,0343,群馬県,草津,a
42,0344,群馬県,野反湖,a
42,0345,群馬県,雨見山,a
42,0346,群馬県,沼田,a
42,0347,群馬県,赤城山,a
42,0348,群馬県,田代,a
42,0349,群馬県,榛名山,a
42,47624,群馬県,前橋,s
42,0351,群馬県,桐生,a
42,0352,群馬県,一の字山,a
42,0353,群馬県,上里見,a
42,0354,群馬県,西野牧,a
42,0355,群馬県,藤岡,a
42,0356,群馬県,館林,a
42,0357,群馬県,稲含山,a
42,1019,群馬県,みなかみ,a
42,1020,群馬県,中之条,a
42,1021,群馬県,伊勢崎,a
42,1174,群馬県,片品,a
42,1222,群馬県,藤原,a
42,1223,群馬県,神流,a
42,1259,群馬県,黒保根,a
42,1375,群馬県,高手山,a
43,47626,埼玉県,熊谷,s
43,0359,埼玉県,久喜,a
43,47641,埼玉県,秩父,s
43,0361,埼玉県,堂平,a
43,0362,埼玉県,飯能,a
43,0363,埼玉県,さいたま,a
43,0364,埼玉県,越谷,a
43,1000,埼玉県,三峰,a
43,1009,埼玉県,寄居,a
43,1069,埼玉県,鴻巣,a
43,1070,埼玉県,所沢,a
43,1159,埼玉県,浦山,a
43,1182,埼玉県,上吉田,a
43,1232,埼玉県,鳩山,a
43,1497,埼玉県,ときがわ,a
44,0365,東京都,小河内,a
44,0366,東京都,八王子,a
44,0367,東京都,調布,a
44,0368,東京都,世田谷,a
44,47662,東京都,東京,s
44,0370,東京都,江戸川臨海,a
44,0371,東京都,羽田,a
44,47675,東京都,大島,s
44,47677,東京都,三宅島,s
44,47678,東京都,八丈島,s
44,1001,東京都,青梅,a
44,1002,東京都,練馬,a
44,1133,東京都,府中,a
44,1134,東京都,新島,a
44,1180,東京都,小沢,a
44,47971,東京都,父島,s
44,1467,東京都,大島北ノ山,a
44,1468,東京都,八重見ヶ原,a
44,1505,東京都,神津島,a
44,1506,東京都,三宅坪田,a
44,1509,東京都,三宅島阿古,a
44,1522,東京都,新島,a
44,1523,東京都,神津島,a
44,1525,東京都,三宅伊豆,a
44,47991,東京都,南鳥島,s
44,1595,東京都,母島,a
44,1642,東京都,大島臨時,a
44,1643,東京都,大島泉津,a
44,1644,東京都,大島差木地,a
44,1646,東京都,利島,a
44,1648,東京都,青ヶ島,a
45,0375,千葉県,香取,a
45,0376,千葉県,我孫子,a
45,0377,千葉県,東庄,a
45,0378,千葉県,成田,a
45,47648,千葉県,銚子,s
45,47682,千葉県,千葉,s
45,0381,千葉県,茂原,a
45,0382,千葉県,木更津,a
45,0383,千葉県,鋸南,a
45,0384,千葉県,鴨川,a
45,47674,千葉県,勝浦,s
45,47672,千葉県,館山,s
45,0916,千葉県,佐倉,a
45,1003,千葉県,横芝光,a
45,1004,千葉県,大多喜,a
45,1236,千葉県,船橋,a
45,1238,千葉県,牛久,a
45,1241,千葉県,坂畑,a
46,0387,神奈川県,相模湖,a
46,0388,神奈川県,海老名,a
46,47670,神奈川県,横浜,s
46,0390,神奈川県,箱根,a
46,0391,神奈川県,江ノ島,a
46,0392,神奈川県,三浦,a
46,1005,神奈川県,相模原中央,a
46,1006,神奈川県,日吉,a
46,1007,神奈川県,平塚,a
46,1008,神奈川県,小田原,a
46,1096,神奈川県,丹沢湖,a
46,1443,神奈川県,辻堂,a
48,0393,長野県,野沢温泉,a
48,0394,長野県,信濃町,a
48,0395,長野県,飯山,a
48,0396,長野県,白馬,a
48,47610,長野県,長野,s
48,0398,長野県,笠岳,a
48,0399,長野県,大町,a
48,0400,長野県,信州新町,a
48,0401,長野県,四阿屋山,a
48,0402,長野県,上田,a
48,0403,長野県,燕岳,a
48,0404,長野県,穂高,a
48,47622,長野県,軽井沢,s
48,47618,長野県,松本,s
48,0407,長野県,鹿教湯,a
48,0408,長野県,佐久,a
48,0409,長野県,高ボッチ,a
48,0410,長野県,茂来山,a
48,47620,長野県,諏訪,s
48,0412,長野県,八ケ岳,a
48,0413,長野県,木曽平沢,a
48,0414,長野県,原村,a
48,0415,長野県,野辺山,a
48,0416,長野県,御嶽山,a
48,0417,長野県,木曽福島,a
